Neighbourhood Description (Occurrence),UCR Violation Type Group (Incident),Incident Reported Year,Incident Reported Quarter,Incident Reported Month,# Incidents
ALBERTA AVENUE,Robbery,2018,Q2,5,4
ALBERTA AVENUE,Robbery,2018,Q2,6,5
ALBERTA AVENUE,Robbery,2018,Q3,7,3
ALBERTA AVENUE,Robbery,2018,Q3,8,5
ALBERTA AVENUE,Robbery,2018,Q3,9,4
ALBERTA AVENUE,Robbery,2018,Q4,10,5
ALBERTA AVENUE,Robbery,2018,Q4,11,2
ALBERTA AVENUE,Sexual Assaults,2018,Q1,1,1
ALBERTA AVENUE,Sexual Assaults,2018,Q1,2,1
ALBERTA AVENUE,Sexual Assaults,2018,Q2,5,1
ALBERTA AVENUE,Sexual Assaults,2018,Q2,6,1
ALBERTA AVENUE,Sexual Assaults,2018,Q3,7,2
ALBERTA AVENUE,Sexual Assaults,2018,Q3,8,1
ALBERTA AVENUE,Sexual Assaults,2018,Q3,9,2
ALBERTA AVENUE,Sexual Assaults,2018,Q4,10,1
ALBERTA AVENUE,Sexual Assaults,2018,Q4,11,3
ALBERTA AVENUE,Sexual Assaults,2018,Q4,12,1
ALBERTA AVENUE,Theft From Vehicle,2018,Q1,1,9
ALBERTA AVENUE,Theft From Vehicle,2018,Q1,2,4
ALBERTA AVENUE,Theft From Vehicle,2018,Q1,3,12
ALBERTA AVENUE,Theft From Vehicle,2018,Q2,4,10
ALBERTA AVENUE,Theft From Vehicle,2018,Q2,5,10
ALBERTA AVENUE,Theft From Vehicle,2018,Q2,6,10
ALBERTA AVENUE,Theft From Vehicle,2018,Q3,7,19
ALBERTA AVENUE,Theft From Vehicle,2018,Q3,8,16
ALBERTA AVENUE,Theft From Vehicle,2018,Q3,9,11
ALBERTA AVENUE,Theft From Vehicle,2018,Q4,10,8
ALBERTA AVENUE,Theft From Vehicle,2018,Q4,11,9
ALBERTA AVENUE,Theft From Vehicle,2018,Q4,12,5
ALBERTA AVENUE,Theft Of Vehicle,2018,Q1,1,6
ALBERTA AVENUE,Theft Of Vehicle,2018,Q1,2,4
ALBERTA AVENUE,Theft Of Vehicle,2018,Q1,3,7
ALBERTA AVENUE,Theft Of Vehicle,2018,Q2,4,6
ALBERTA AVENUE,Theft Of Vehicle,2018,Q2,5,12
ALBERTA AVENUE,Theft Of Vehicle,2018,Q2,6,8
ALBERTA AVENUE,Theft Of Vehicle,2018,Q3,7,15
ALBERTA AVENUE,Theft Of Vehicle,2018,Q3,8,18
ALBERTA AVENUE,Theft Of Vehicle,2018,Q3,9,9
ALBERTA AVENUE,Theft Of Vehicle,2018,Q4,10,10
ALBERTA AVENUE,Theft Of Vehicle,2018,Q4,11,9
ALBERTA AVENUE,Theft Of Vehicle,2018,Q4,12,5
ALBERTA AVENUE,Theft Over $5000,2018,Q1,3,1
ALBERTA AVENUE,Theft Over $5000,2018,Q3,8,3
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q1,1,3
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q1,2,1
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q1,3,1
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q2,4,1
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q2,6,1
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q3,7,2
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q3,8,1
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q3,9,2
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q4,10,1
ALBERTA PARK INDUSTRIAL,Break and Enter,2018,Q4,11,3
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q1,1,1
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q1,2,1
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q1,3,1
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q2,5,1
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q2,6,1
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q3,7,2
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q3,9,2
ALBERTA PARK INDUSTRIAL,Theft From Vehicle,2018,Q4,11,1
ALBERTA PARK INDUSTRIAL,Theft Of Vehicle,2018,Q1,2,2
ALBERTA PARK INDUSTRIAL,Theft Of Vehicle,2018,Q3,7,1
ALBERTA PARK INDUSTRIAL,Theft Of Vehicle,2018,Q4,10,1
ALBERTA PARK INDUSTRIAL,Theft Of Vehicle,2018,Q4,12,3
ALBERTA PARK INDUSTRIAL,Theft Over $5000,2018,Q1,1,1
ALBERTA PARK INDUSTRIAL,Theft Over $5000,2018,Q4,10,1
ALDERGROVE,Assault,2018,Q1,1,1
ALDERGROVE,Assault,2018,Q1,2,2
ALDERGROVE,Assault,2018,Q1,3,2
ALDERGROVE,Assault,2018,Q2,4,2
ALDERGROVE,Assault,2018,Q2,5,1
ALDERGROVE,Assault,2018,Q2,6,3
ALDERGROVE,Assault,2018,Q3,7,2
ALDERGROVE,Assault,2018,Q3,8,3
ALDERGROVE,Assault,2018,Q3,9,3
ALDERGROVE,Break and Enter,2018,Q1,2,1
ALDERGROVE,Break and Enter,2018,Q1,3,1
ALDERGROVE,Break and Enter,2018,Q2,4,2
ALDERGROVE,Break and Enter,2018,Q2,5,3
ALDERGROVE,Break and Enter,2018,Q2,6,3
ALDERGROVE,Break and Enter,2018,Q3,7,6
ALDERGROVE,Break and Enter,2018,Q3,8,4
ALDERGROVE,Break and Enter,2018,Q3,9,2
ALDERGROVE,Break and Enter,2018,Q4,10,2
ALDERGROVE,Break and Enter,2018,Q4,12,2
ALDERGROVE,Robbery,2018,Q1,2,1
ALDERGROVE,Robbery,2018,Q3,8,1
ALDERGROVE,Robbery,2018,Q4,10,1
ALDERGROVE,Robbery,2018,Q4,11,1
ALDERGROVE,Robbery,2018,Q4,12,2
ALDERGROVE,Sexual Assaults,2018,Q1,1,1
ALDERGROVE,Sexual Assaults,2018,Q1,2,1
ALDERGROVE,Theft From Vehicle,2018,Q1,1,1
ALDERGROVE,Theft From Vehicle,2018,Q1,2,2
ALDERGROVE,Theft From Vehicle,2018,Q1,3,5
ALDERGROVE,Theft From Vehicle,2018,Q2,4,3
ALDERGROVE,Theft From Vehicle,2018,Q2,5,3
ALDERGROVE,Theft From Vehicle,2018,Q2,6,3
ALDERGROVE,Theft From Vehicle,2018,Q3,7,3
ALDERGROVE,Theft From Vehicle,2018,Q3,8,2
ALDERGROVE,Theft From Vehicle,2018,Q3,9,2
ALDERGROVE,Theft From Vehicle,2018,Q4,10,1
ALDERGROVE,Theft From Vehicle,2018,Q4,11,1
ALDERGROVE,Theft Of Vehicle,2018,Q1,2,1
ALDERGROVE,Theft Of Vehicle,2018,Q1,3,5
ALDERGROVE,Theft Of Vehicle,2018,Q2,4,3
ALDERGROVE,Theft Of Vehicle,2018,Q2,6,2
ALDERGROVE,Theft Of Vehicle,2018,Q3,7,2
ALDERGROVE,Theft Of Vehicle,2018,Q3,8,2
ALDERGROVE,Theft Of Vehicle,2018,Q3,9,2
ALDERGROVE,Theft Of Vehicle,2018,Q4,10,2
ALDERGROVE,Theft Of Vehicle,2018,Q4,11,2
ALDERGROVE,Theft Of Vehicle,2018,Q4,12,2
ALLENDALE,Assault,2018,Q1,1,1
ALLENDALE,Assault,2018,Q1,3,1
ALLENDALE,Assault,2018,Q2,4,1
ALLENDALE,Assault,2018,Q2,5,3
ALLENDALE,Assault,2018,Q3,7,4
ALLENDALE,Assault,2018,Q3,8,5
ALLENDALE,Assault,2018,Q3,9,1
ALLENDALE,Assault,2018,Q4,10,1
ALLENDALE,Assault,2018,Q4,11,2
ALLENDALE,Assault,2018,Q4,12,3
ALLENDALE,Break and Enter,2018,Q1,1,1
ALLENDALE,Break and Enter,2018,Q1,2,1
ALLENDALE,Break and Enter,2018,Q1,3,4
ALLENDALE,Break and Enter,2018,Q2,4,4
ALLENDALE,Break and Enter,2018,Q2,5,6
ALLENDALE,Break and Enter,2018,Q3,7,1
ALLENDALE,Break and Enter,2018,Q3,8,4
ALLENDALE,Break and Enter,2018,Q3,9,4
ALLENDALE,Break and Enter,2018,Q4,10,2
ALLENDALE,Robbery,2018,Q1,1,1
ALLENDALE,Robbery,2018,Q1,2,1
ALLENDALE,Robbery,2018,Q1,3,1
ALLENDALE,Robbery,2018,Q2,5,1
ALLENDALE,Robbery,2018,Q3,8,1
ALLENDALE,Robbery,2018,Q4,10,2
ALLENDALE,Sexual Assaults,2018,Q1,3,1
ALLENDALE,Theft From Vehicle,2018,Q1,1,4
ALLENDALE,Theft From Vehicle,2018,Q1,2,1
ALLENDALE,Theft From Vehicle,2018,Q1,3,3
ALLENDALE,Theft From Vehicle,2018,Q2,4,3
ALLENDALE,Theft From Vehicle,2018,Q2,5,4
ALLENDALE,Theft From Vehicle,2018,Q2,6,1
ALLENDALE,Theft From Vehicle,2018,Q3,7,2
ALLENDALE,Theft From Vehicle,2018,Q3,8,2
ALLENDALE,Theft From Vehicle,2018,Q3,9,7
ALLENDALE,Theft From Vehicle,2018,Q4,10,1
ALLENDALE,Theft From Vehicle,2018,Q4,11,4
ALLENDALE,Theft From Vehicle,2018,Q4,12,1
ALLENDALE,Theft Of Vehicle,2018,Q1,1,1
ALLENDALE,Theft Of Vehicle,2018,Q1,2,1
ALLENDALE,Theft Of Vehicle,2018,Q1,3,4
ALLENDALE,Theft Of Vehicle,2018,Q2,4,2
ALLENDALE,Theft Of Vehicle,2018,Q2,5,2
ALLENDALE,Theft Of Vehicle,2018,Q2,6,1
ALLENDALE,Theft Of Vehicle,2018,Q3,7,2
ALLENDALE,Theft Of Vehicle,2018,Q3,8,1
ALLENDALE,Theft Of Vehicle,2018,Q4,10,1
ALLENDALE,Theft Of Vehicle,2018,Q4,12,1
ALLENDALE,Theft Over $5000,2018,Q2,4,1
AMBLESIDE,Assault,2018,Q1,3,1
AMBLESIDE,Assault,2018,Q2,4,1
AMBLESIDE,Break and Enter,2018,Q2,4,1
AMBLESIDE,Break and Enter,2018,Q2,5,1
AMBLESIDE,Break and Enter,2018,Q2,6,1
AMBLESIDE,Break and Enter,2018,Q3,9,3
AMBLESIDE,Break and Enter,2018,Q4,10,1
AMBLESIDE,Break and Enter,2018,Q4,11,1
AMBLESIDE,Break and Enter,2018,Q4,12,1
AMBLESIDE,Theft From Vehicle,2018,Q1,1,1
AMBLESIDE,Theft From Vehicle,2018,Q1,2,1
AMBLESIDE,Theft From Vehicle,2018,Q2,4,1
AMBLESIDE,Theft From Vehicle,2018,Q2,6,2
AMBLESIDE,Theft From Vehicle,2018,Q3,7,2
AMBLESIDE,Theft From Vehicle,2018,Q3,8,1
AMBLESIDE,Theft From Vehicle,2018,Q3,9,1
AMBLESIDE,Theft From Vehicle,2018,Q4,10,1
AMBLESIDE,Theft From Vehicle,2018,Q4,11,1
AMBLESIDE,Theft From Vehicle,2018,Q4,12,2
AMBLESIDE,Theft Of Vehicle,2018,Q1,1,2
AMBLESIDE,Theft Of Vehicle,2018,Q1,3,1
AMBLESIDE,Theft Of Vehicle,2018,Q2,6,1
AMBLESIDE,Theft Of Vehicle,2018,Q3,8,2
AMBLESIDE,Theft Of Vehicle,2018,Q4,10,2
AMBLESIDE,Theft Of Vehicle,2018,Q4,12,2
AMBLESIDE,Theft Over $5000,2018,Q1,1,1
AMBLESIDE,Theft Over $5000,2018,Q1,2,1
AMBLESIDE,Theft Over $5000,2018,Q1,3,1
AMBLESIDE,Theft Over $5000,2018,Q4,11,1
ANTHONY HENDAY,Assault,2018,Q3,7,1
ANTHONY HENDAY,Assault,2018,Q3,8,1
ANTHONY HENDAY,Break and Enter,2018,Q2,6,1
ANTHONY HENDAY,Break and Enter,2018,Q4,10,2
ANTHONY HENDAY,Theft From Vehicle,2018,Q1,1,1
ANTHONY HENDAY,Theft From Vehicle,2018,Q1,2,1
ANTHONY HENDAY,Theft Of Vehicle,2018,Q1,2,1
ANTHONY HENDAY,Theft Of Vehicle,2018,Q4,10,1
ANTHONY HENDAY BIG LAKE,Assault,2018,Q4,11,1
ANTHONY HENDAY BIG LAKE,Theft Over $5000,2018,Q2,5,1
ANTHONY HENDAY ENERGY PARK,Break and Enter,2018,Q4,12,1
ANTHONY HENDAY HORSE HILL,Theft From Vehicle,2018,Q2,5,1
ANTHONY HENDAY HORSE HILL,Theft Of Vehicle,2018,Q1,2,2
ANTHONY HENDAY HORSE HILL,Theft Of Vehicle,2018,Q3,9,1
ANTHONY HENDAY MISTATIM,Break and Enter,2018,Q3,8,1
ANTHONY HENDAY SOUTH,Break and Enter,2018,Q2,5,1
ANTHONY HENDAY SOUTH,Theft From Vehicle,2018,Q2,5,1
ANTHONY HENDAY SOUTH,Theft Of Vehicle,2018,Q2,6,2
ANTHONY HENDAY SOUTH,Theft Of Vehicle,2018,Q3,7,1
ANTHONY HENDAY SOUTH EAST,Assault,2018,Q2,5,1
ANTHONY HENDAY SOUTH EAST,Assault,2018,Q2,6,1
ANTHONY HENDAY SOUTH EAST,Assault,2018,Q4,10,1
ANTHONY HENDAY SOUTH EAST,Break and Enter,2018,Q3,9,1
ANTHONY HENDAY SOUTH EAST,Theft From Vehicle,2018,Q1,1,1
ANTHONY HENDAY SOUTH EAST,Theft From Vehicle,2018,Q1,2,1
ANTHONY HENDAY SOUTH EAST,Theft From Vehicle,2018,Q2,4,1
ANTHONY HENDAY SOUTH EAST,Theft From Vehicle,2018,Q2,5,1
ANTHONY HENDAY SOUTH EAST,Theft From Vehicle,2018,Q3,9,3
ANTHONY HENDAY SOUTH EAST,Theft From Vehicle,2018,Q4,10,1
ANTHONY HENDAY SOUTH EAST,Theft From Vehicle,2018,Q4,12,2
ANTHONY HENDAY SOUTH EAST,Theft Of Vehicle,2018,Q1,1,1
ANTHONY HENDAY SOUTH EAST,Theft Of Vehicle,2018,Q1,3,3
ANTHONY HENDAY SOUTH EAST,Theft Of Vehicle,2018,Q2,5,1
ANTHONY HENDAY SOUTH EAST,Theft Of Vehicle,2018,Q3,9,1
ANTHONY HENDAY SOUTH EAST,Theft Of Vehicle,2018,Q4,10,1
ANTHONY HENDAY SOUTH WEST,Assault,2018,Q3,7,1
ANTHONY HENDAY SOUTH WEST,Theft Of Vehicle,2018,Q3,9,1
ANTHONY HENDAY SOUTH WEST,Theft Over $5000,2018,Q1,2,1
ARGYLL,Assault,2018,Q2,4,1
ARGYLL,Assault,2018,Q2,5,1
ARGYLL,Assault,2018,Q3,7,1
ARGYLL,Break and Enter,2018,Q1,3,1
ARGYLL,Break and Enter,2018,Q2,5,1
ARGYLL,Break and Enter,2018,Q2,6,1
ARGYLL,Break and Enter,2018,Q3,7,1
ARGYLL,Break and Enter,2018,Q4,11,1
ARGYLL,Break and Enter,2018,Q4,12,1
ARGYLL,Theft From Vehicle,2018,Q2,5,4
ARGYLL,Theft From Vehicle,2018,Q2,6,2
ARGYLL,Theft From Vehicle,2018,Q3,9,1
ARGYLL,Theft From Vehicle,2018,Q4,10,1
ARGYLL,Theft Of Vehicle,2018,Q1,2,1
ARGYLL,Theft Of Vehicle,2018,Q2,4,2
ARGYLL,Theft Of Vehicle,2018,Q2,5,1
ARGYLL,Theft Of Vehicle,2018,Q2,6,1
ARGYLL,Theft Of Vehicle,2018,Q3,7,1
ARGYLL,Theft Of Vehicle,2018,Q3,9,1
ARGYLL,Theft Over $5000,2018,Q2,4,1
ARMSTRONG INDUSTRIAL,Assault,2018,Q2,5,1
ARMSTRONG INDUSTRIAL,Assault,2018,Q3,8,1
ARMSTRONG INDUSTRIAL,Break and Enter,2018,Q1,1,1
ARMSTRONG INDUSTRIAL,Break and Enter,2018,Q1,2,1
ARMSTRONG INDUSTRIAL,Break and Enter,2018,Q2,5,1
ARMSTRONG INDUSTRIAL,Robbery,2018,Q1,3,1
ARMSTRONG INDUSTRIAL,Robbery,2018,Q2,5,2
ARMSTRONG INDUSTRIAL,Sexual Assaults,2018,Q4,10,1
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q1,1,2
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q1,2,1
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q1,3,1
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q2,4,3
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q2,5,1
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q3,8,2
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q4,11,1
ARMSTRONG INDUSTRIAL,Theft From Vehicle,2018,Q4,12,1
ARMSTRONG INDUSTRIAL,Theft Of Vehicle,2018,Q1,3,2
ARMSTRONG INDUSTRIAL,Theft Of Vehicle,2018,Q2,4,2
ARMSTRONG INDUSTRIAL,Theft Of Vehicle,2018,Q3,9,3
ARMSTRONG INDUSTRIAL,Theft Of Vehicle,2018,Q4,11,1
ARMSTRONG INDUSTRIAL,Theft Over $5000,2018,Q2,4,1
ASPEN GARDENS,Break and Enter,2018,Q1,3,1
ASPEN GARDENS,Break and Enter,2018,Q2,4,1
ASPEN GARDENS,Break and Enter,2018,Q2,5,1
ASPEN GARDENS,Break and Enter,2018,Q2,6,1
ASPEN GARDENS,Break and Enter,2018,Q3,7,1
ASPEN GARDENS,Break and Enter,2018,Q4,11,1
ASPEN GARDENS,Theft From Vehicle,2018,Q1,3,1
ASPEN GARDENS,Theft From Vehicle,2018,Q3,7,1
ASPEN GARDENS,Theft From Vehicle,2018,Q3,8,1
ASPEN GARDENS,Theft From Vehicle,2018,Q4,12,1
ASPEN GARDENS,Theft Of Vehicle,2018,Q1,3,1
ASPEN GARDENS,Theft Of Vehicle,2018,Q3,8,1
ASPEN GARDENS,Theft Of Vehicle,2018,Q3,9,1
ATHLONE,Assault,2018,Q1,1,2
ATHLONE,Assault,2018,Q1,2,2
ATHLONE,Assault,2018,Q1,3,1
ATHLONE,Assault,2018,Q2,5,1
ATHLONE,Assault,2018,Q3,7,2
ATHLONE,Assault,2018,Q3,9,2
ATHLONE,Assault,2018,Q4,10,1
ATHLONE,Assault,2018,Q4,11,6
ATHLONE,Break and Enter,2018,Q1,1,1
ATHLONE,Break and Enter,2018,Q1,3,3
ATHLONE,Break and Enter,2018,Q2,4,2
ATHLONE,Break and Enter,2018,Q2,5,1
ATHLONE,Break and Enter,2018,Q2,6,3
ATHLONE,Break and Enter,2018,Q3,7,5
ATHLONE,Break and Enter,2018,Q3,8,2
ATHLONE,Break and Enter,2018,Q3,9,2
ATHLONE,Break and Enter,2018,Q4,12,2
ATHLONE,Robbery,2018,Q1,1,1
ATHLONE,Robbery,2018,Q1,2,1
ATHLONE,Robbery,2018,Q1,3,2
ATHLONE,Robbery,2018,Q4,12,1
ATHLONE,Sexual Assaults,2018,Q2,6,1
ATHLONE,Theft From Vehicle,2018,Q1,1,1
ATHLONE,Theft From Vehicle,2018,Q1,2,2
ATHLONE,Theft From Vehicle,2018,Q1,3,4
ATHLONE,Theft From Vehicle,2018,Q2,4,4
ATHLONE,Theft From Vehicle,2018,Q2,5,1
ATHLONE,Theft From Vehicle,2018,Q2,6,3
ATHLONE,Theft From Vehicle,2018,Q3,7,3
ATHLONE,Theft From Vehicle,2018,Q3,8,8
ATHLONE,Theft From Vehicle,2018,Q3,9,1
ATHLONE,Theft From Vehicle,2018,Q4,10,7
ATHLONE,Theft From Vehicle,2018,Q4,11,3
ATHLONE,Theft From Vehicle,2018,Q4,12,1
ATHLONE,Theft Of Vehicle,2018,Q1,1,1
ATHLONE,Theft Of Vehicle,2018,Q1,2,2
ATHLONE,Theft Of Vehicle,2018,Q1,3,1
ATHLONE,Theft Of Vehicle,2018,Q2,5,1
ATHLONE,Theft Of Vehicle,2018,Q2,6,1
ATHLONE,Theft Of Vehicle,2018,Q3,7,2
ATHLONE,Theft Of Vehicle,2018,Q3,8,2
ATHLONE,Theft Of Vehicle,2018,Q3,9,2
ATHLONE,Theft Of Vehicle,2018,Q4,10,3
ATHLONE,Theft Of Vehicle,2018,Q4,11,1
ATHLONE,Theft Of Vehicle,2018,Q4,12,1
AVONMORE,Assault,2018,Q1,1,2
AVONMORE,Assault,2018,Q3,7,1
AVONMORE,Assault,2018,Q3,8,1
AVONMORE,Assault,2018,Q3,9,2
AVONMORE,Assault,2018,Q4,11,3
AVONMORE,Break and Enter,2018,Q1,1,2
AVONMORE,Break and Enter,2018,Q1,2,2
AVONMORE,Break and Enter,2018,Q2,5,1
AVONMORE,Break and Enter,2018,Q2,6,2
AVONMORE,Break and Enter,2018,Q3,7,1
AVONMORE,Break and Enter,2018,Q3,8,5
AVONMORE,Break and Enter,2018,Q3,9,3
AVONMORE,Break and Enter,2018,Q4,10,1
AVONMORE,Break and Enter,2018,Q4,11,2
AVONMORE,Break and Enter,2018,Q4,12,1
AVONMORE,Homicide,2018,Q3,7,1
AVONMORE,Sexual Assaults,2018,Q3,8,1
AVONMORE,Theft From Vehicle,2018,Q1,2,1
AVONMORE,Theft From Vehicle,2018,Q1,3,3
AVONMORE,Theft From Vehicle,2018,Q2,4,2
AVONMORE,Theft From Vehicle,2018,Q2,5,1
AVONMORE,Theft From Vehicle,2018,Q2,6,3
AVONMORE,Theft From Vehicle,2018,Q3,8,1
AVONMORE,Theft From Vehicle,2018,Q3,9,12
AVONMORE,Theft From Vehicle,2018,Q4,10,1
AVONMORE,Theft From Vehicle,2018,Q4,11,2
AVONMORE,Theft From Vehicle,2018,Q4,12,1
AVONMORE,Theft Of Vehicle,2018,Q1,2,1
AVONMORE,Theft Of Vehicle,2018,Q1,3,4
AVONMORE,Theft Of Vehicle,2018,Q2,5,2
AVONMORE,Theft Of Vehicle,2018,Q2,6,4
AVONMORE,Theft Of Vehicle,2018,Q3,7,2
AVONMORE,Theft Of Vehicle,2018,Q3,8,1
AVONMORE,Theft Of Vehicle,2018,Q3,9,2
AVONMORE,Theft Of Vehicle,2018,Q4,12,1
BALWIN,Assault,2018,Q1,1,1
BALWIN,Assault,2018,Q1,2,2
BALWIN,Assault,2018,Q1,3,5
BALWIN,Assault,2018,Q2,4,9
BALWIN,Assault,2018,Q2,5,1
BALWIN,Assault,2018,Q2,6,3
BALWIN,Assault,2018,Q3,7,12
BALWIN,Assault,2018,Q3,8,5
BALWIN,Assault,2018,Q3,9,2
BALWIN,Assault,2018,Q4,10,3
BALWIN,Assault,2018,Q4,11,1
BALWIN,Assault,2018,Q4,12,3
BALWIN,Break and Enter,2018,Q1,1,4
BALWIN,Break and Enter,2018,Q1,2,1
BALWIN,Break and Enter,2018,Q1,3,3
BALWIN,Break and Enter,2018,Q2,5,6
BALWIN,Break and Enter,2018,Q2,6,7
BALWIN,Break and Enter,2018,Q3,7,4
BALWIN,Break and Enter,2018,Q3,8,4
BALWIN,Break and Enter,2018,Q3,9,4
BALWIN,Break and Enter,2018,Q4,10,3
BALWIN,Break and Enter,2018,Q4,11,10
BALWIN,Break and Enter,2018,Q4,12,5
BALWIN,Homicide,2018,Q1,2,1
BALWIN,Robbery,2018,Q1,1,1
BALWIN,Robbery,2018,Q1,2,1
BALWIN,Robbery,2018,Q1,3,1
